question,language,intent,field_focus,query_focus,source
SBC विद्यार्थ्यांसाठी गुणवंत शिष्यवृत्ती योजना दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
या शिष्यवृत्तीसाठी पात्रता काय आहे?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
या योजनेसाठी किमान ५०% गुण आवश्यक आहेत का?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या शिष्यवृत्तीसाठी उत्पन्न मर्यादा आहे का?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
ही योजना कोणत्या विभागामार्फत दिली जाते?,mr,DEPARTMENT_QUERY,dept,,synthetic
ही गुणवंत शिष्यवृत्ती समजावून सांगा.,mr,SCHEME_INFO,,,synthetic
शासकीय अनुदानित शाळेतील विद्यार्थी अर्ज करू शकतात का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
आधार लिंक केलेले बँक खाते आवश्यक आहे का?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
VJNT आणि SBC विद्यार्थ्यांसाठी गुणवंत शिष्यवृत्तीची माहिती द्या.,mr,SCHEME_INFO,,,synthetic
Are there any Savitribai Phule scholarships for SC girl students?,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarship schemes for girls studying in Classes 5 to 10.,en,FILTER_SEARCH,,list_expand,synthetic
Who is eligible for the Savitribai Phule Scholarship for girl students?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
What are the eligibility criteria for the Savitribai Phule Scholarship?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is there any income limit for this scholarship?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Which department provides the Savitribai Phule Scholarship for girls?,en,DEPARTMENT_QUERY,dept,,synthetic
Explain the Savitribai Phule Scholarship for girl students studying in Classes 5 to 10.,en,SCHEME_INFO,,,synthetic
Can SC girl students studying in government-aided schools apply for this scholarship?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is an Aadhaar-linked bank account required for this scholarship?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What benefits are available under the Savitribai Phule Scholarship?,en,BENEFIT_QUERY,benefit,,synthetic
SC मुलींसाठी सावित्रीबाई फुले शिष्यवृत्ती योजना आहे का?,mr,FILTER_SEARCH,,list_expand,synthetic
इयत्ता ५ वी ते १० वी मधील मुलींसाठी शिष्यवृत्ती योजना दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
या शिष्यवृत्तीसाठी पात्रता काय आहे?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
या योजनेसाठी उत्पन्न मर्यादा आहे का?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
ही योजना कोणत्या विभागाची आहे?,mr,DEPARTMENT_QUERY,dept,,synthetic
सावित्रीबाई फुले शिष्यवृत्ती योजना समजावून सांगा.,mr,SCHEME_INFO,,,synthetic
SC प्रवर्गातील मुली अर्ज करू शकतात का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
या योजनेसाठी आधार लिंक केलेले बँक खाते आवश्यक आहे का?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या शिष्यवृत्तीअंतर्गत कोणते लाभ मिळतात?,mr,BENEFIT_QUERY,benefit,,synthetic
SC मुलींसाठी उपलब्ध सावित्रीबाई फुले शिष्यवृत्तीची माहिती द्या.,mr,SCHEME_INFO,,,synthetic
What is the Government of India Scholarship for 9th and 10th std. - CSS?,en,SCHEME_INFO,,,synthetic
Who can apply for the Government of India Scholarship for 9th and 10th std. - CSS?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What are the eligibility criteria for the Government of India Scholarship for 9th and 10th std. - CSS?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What documents are required for the Government of India Scholarship for 9th and 10th std. - CSS?,en,DOCUMENT_QUERY,documents,,synthetic
What benefits are provided under the Government of India Scholarship for 9th and 10th std. - CSS?,en,BENEFIT_QUERY,benefit,,synthetic
How do I apply for the Government of India Scholarship for 9th and 10th std. - CSS?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
Is there an income limit for the Government of India Scholarship for 9th and 10th std. - CSS?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Can SC students studying in 9th or 10th class apply for this scholarship?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Show scholarships for SC students studying in Class 9 or 10.,en,FILTER_SEARCH,,list_expand,synthetic
List schemes for students with family income below ₹2.5 lakh.,en,FILTER_SEARCH,,list_expand,synthetic
Which department offers the Government of India Scholarship for 9th and 10th std. - CSS?,en,DEPARTMENT_QUERY,dept,,synthetic
सरकारच्या ९वी व १०वी शिष्यवृत्ती (CSS) योजनेची माहिती द्या.,mr,SCHEME_INFO,,,synthetic
या योजनेसाठी पात्रता काय आहे?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या योजनेसाठी कोणती कागदपत्रे आवश्यक आहेत?,mr,DOCUMENT_QUERY,documents,,synthetic
या योजनेअंतर्गत किती लाभ मिळतो?,mr,BENEFIT_QUERY,benefit,,synthetic
या योजनेसाठी अर्ज कसा करायचा?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
या योजनेसाठी उत्पन्न मर्यादा किती आहे?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
SC प्रवर्गातील ९वी किंवा १०वीतील विद्यार्थ्यांसाठी शिष्यवृत्ती दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
ही योजना कोणत्या विभागामार्फत राबवली जाते?,mr,DEPARTMENT_QUERY,dept,,synthetic
Government of India Scholarship for 9th and 10th std. - CSS आणि Savitribai Phule Scholarship मधील फरक काय?,en,COMPARISON,,,synthetic
What is the Pre-matric Scholarship to Children of those engaged in Unclean Occupation - CSS?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Pre-matric Scholarship to Children of those engaged in Unclean Occupation?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What are the eligibility criteria for the Pre-matric Scholarship to Children of those engaged in Unclean Occupation?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Which documents are required for the Pre-matric Scholarship to Children of those engaged in Unclean Occupation?,en,DOCUMENT_QUERY,documents,,synthetic
What benefits are provided under this scholarship?,en,BENEFIT_QUERY,benefit,,synthetic
How can I apply for the Pre-matric Scholarship to Children of those engaged in Unclean Occupation?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
Is there any income limit for this scholarship?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Can children of sanitation workers apply for this scholarship?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Show scholarships for children of parents engaged in hazardous occupations.,en,FILTER_SEARCH,,list_expand,synthetic
List pre-matric scholarships for students from unclean occupation families.,en,FILTER_SEARCH,,list_expand,synthetic
Which department provides this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Pre-matric Scholarship to Children of those engaged in Unclean Occupation म्हणजे काय?,mr,SCHEME_INFO,,,synthetic
या शिष्यवृत्तीसाठी पात्रता काय आहे?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या योजनेसाठी कोणती कागदपत्रे आवश्यक आहेत?,mr,DOCUMENT_QUERY,documents,,synthetic
या योजनेचे लाभ काय आहेत?,mr,BENEFIT_QUERY,benefit,,synthetic
या शिष्यवृत्तीसाठी अर्ज कसा करायचा?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
या योजनेसाठी उत्पन्नाची अट आहे का?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
अस्वच्छ व धोकादायक व्यवसाय करणाऱ्या पालकांच्या मुलांसाठी शिष्यवृत्ती दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
ही योजना कोणत्या विभागामार्फत दिली जाते?,mr,DEPARTMENT_QUERY,dept,,synthetic
Pre-matric Scholarship to Children of those engaged in Unclean Occupation आणि Government of India Scholarship for 9th and 10th std. - CSS यामध्ये काय फरक आहे?,en,COMPARISON,,,synthetic
What is the Maintenance Allowance to SC Students studying in Sainik Schools?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Maintenance Allowance to SC Students studying in Sainik Schools?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What are the eligibility criteria for the SC Sainik School maintenance allowance?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What benefits are provided under the Maintenance Allowance to SC Students studying in Sainik Schools?,en,BENEFIT_QUERY,benefit,,synthetic
How can I apply for the Maintenance Allowance to SC Students studying in Sainik Schools?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
Is there an income limit for this scheme?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Can SC students studying in private Sainik Schools apply for this scheme?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Show maintenance allowance schemes for SC students studying in Sainik Schools.,en,FILTER_SEARCH,,list_expand,synthetic
Which department provides the Maintenance Allowance to SC Students studying in Sainik Schools?,en,DEPARTMENT_QUERY,dept,,synthetic
What is the annual maintenance allowance under this scheme?,en,BENEFIT_QUERY,benefit,,synthetic
SC विद्यार्थ्यांसाठी सैनिक शाळेतील निर्वाह भत्ता योजना काय आहे?,mr,SCHEME_INFO,,,synthetic
या योजनेसाठी पात्रता काय आहे?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या योजनेअंतर्गत कोणते लाभ मिळतात?,mr,BENEFIT_QUERY,benefit,,synthetic
या योजनेसाठी अर्ज कसा करायचा?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
या योजनेसाठी उत्पन्न मर्यादा किती आहे?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
खाजगी सैनिक शाळेतील SC विद्यार्थी या योजनेसाठी पात्र आहेत का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
SC विद्यार्थ्यांसाठी सैनिक शाळेतील निर्वाह भत्ता योजना दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
ही योजना कोणत्या विभागामार्फत राबवली जाते?,mr,DEPARTMENT_QUERY,dept,,synthetic
या योजनेत वार्षिक निर्वाह भत्ता किती मिळतो?,mr,BENEFIT_QUERY,benefit,,synthetic
Maintenance Allowance to SC Students studying in Sainik Schools आणि Maintenance Allowance to Students studying in Sainik Schools यामध्ये काय फरक आहे?,en,COMPARISON,,,synthetic
What is the Maharshi Vitthal Ramji Shinde Pre-Matric Tuition Fee and Exam Fee (Freeship) Scheme?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Maharshi Vitthal Ramji Shinde Freeship Scheme?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What are the eligibility criteria for the Maharshi Vitthal Ramji Shinde Freeship Scheme?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What benefits are available under the Maharshi Vitthal Ramji Shinde Freeship Scheme?,en,BENEFIT_QUERY,benefit,,synthetic
How do I apply for the Maharshi Vitthal Ramji Shinde Freeship Scheme?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
Is BPL mandatory for the Maharshi Vitthal Ramji Shinde Freeship Scheme?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can SC students studying in private aided schools apply for this scheme?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Show tuition fee reimbursement schemes for SC students studying from Class 1 to 10.,en,FILTER_SEARCH,,list_expand,synthetic
Which department offers the Maharshi Vitthal Ramji Shinde Freeship Scheme?,en,DEPARTMENT_QUERY,dept,,synthetic
Does this scheme reimburse both tuition fee and examination fee?,en,BENEFIT_QUERY,benefit,,synthetic
महर्षी विठ्ठल रामजी शिंदे प्री-मॅट्रिक फीमाफी योजना काय आहे?,mr,SCHEME_INFO,,,synthetic
या योजनेसाठी पात्रता काय आहे?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या योजनेअंतर्गत कोणते लाभ मिळतात?,mr,BENEFIT_QUERY,benefit,,synthetic
या योजनेसाठी अर्ज कसा करायचा?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
या योजनेसाठी BPL असणे आवश्यक आहे का?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
SC विद्यार्थ्यांना या योजनेचा लाभ मिळू शकतो का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
SC विद्यार्थ्यांसाठी फीमाफी योजना दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
ही योजना कोणत्या विभागामार्फत राबवली जाते?,mr,DEPARTMENT_QUERY,dept,,synthetic
या योजनेत शिक्षण शुल्क आणि परीक्षा शुल्क भरून मिळते का?,mr,BENEFIT_QUERY,benefit,,synthetic
Maharshi Vitthal Ramji Shinde Freeship Scheme आणि Government of India Scholarship for 9th and 10th std. - CSS यामध्ये काय फरक आहे?,en,COMPARISON,,,synthetic
What is the Pre-matric Merit Scholarship for SC students studying in 5th to 10th std?,en,SCHEME_INFO,,,synthetic
Tell me about the Pre-matric Merit Scholarship for SC students studying in 5th to 10th std.,en,SCHEME_INFO,,,synthetic
Explain this scholarship.,en,FOLLOW_UP,,,synthetic
Who can apply for the Pre-matric Merit Scholarship for SC students?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
What is the eligibility criteria?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Am I eligible if I belong to SC?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can BPL students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is Maharashtra domicile mandatory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can Class 5 students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can Class 10 students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Are private school students eligible?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students studying in government schools apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Does this scholarship require Aadhaar-linked bank account?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What documents are required?,en,DOCUMENT_QUERY,documents,,synthetic
Do I need a caste certificate?,en,DOCUMENT_QUERY,documents,,synthetic
Is income certificate required?,en,DOCUMENT_QUERY,documents,,synthetic
What benefits are provided?,en,BENEFIT_QUERY,benefit,,synthetic
How much scholarship amount will I receive?,en,BENEFIT_QUERY,benefit,,synthetic
Which department offers this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Is this scholarship offered by SJSA?,en,DEPARTMENT_QUERY,dept,,synthetic
List scholarships for SC students in Class 5 to 10.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships for BPL SC students.,en,FILTER_SEARCH,,list_expand,synthetic
Find scholarships for government school SC students.,en,FILTER_SEARCH,,list_expand,synthetic
Compare this scholarship with Government of India Scholarship for 9th and 10th std. - CSS.,en,COMPARISON,,,synthetic
Is there any income limit?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Does renewal have same eligibility?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
If I fail a class can I continue?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can I apply online?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
How do I apply for this scholarship?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
When is the last date to apply?,en,SCHEME_FIELD_QUERY,deadline,,synthetic
What is the Pre-matric Scholarship for Persons with Disabilities?,en,SCHEME_INFO,,,synthetic
Tell me about the disability scholarship.,en,SCHEME_INFO,,,synthetic
Explain this scheme.,en,FOLLOW_UP,,,synthetic
Who is eligible for the disability scholarship?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students with 40% disability apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
What disability percentage is required?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can hearing impaired students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can intellectually disabled students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can normal school students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can hostel students apply?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is there any income limit?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Is Maharashtra domicile mandatory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Do I need Aadhaar linked bank account?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What documents are required?,en,DOCUMENT_QUERY,documents,,synthetic
Is disability certificate mandatory?,en,DOCUMENT_QUERY,documents,,synthetic
Do I need ration card?,en,DOCUMENT_QUERY,documents,,synthetic
Is caste certificate required?,en,DOCUMENT_QUERY,documents,,synthetic
What benefits are provided?,en,BENEFIT_QUERY,benefit,,synthetic
Does this scholarship provide stipend?,en,BENEFIT_QUERY,benefit,,synthetic
Does it provide maintenance allowance?,en,BENEFIT_QUERY,benefit,,synthetic
Which department provides this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Is it under Persons with Disabilities Welfare Department?,en,DEPARTMENT_QUERY,dept,,synthetic
List scholarships for disabled students.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships for persons with disabilities.,en,FILTER_SEARCH,,list_expand,synthetic
Find scholarships for students with hearing impairment.,en,FILTER_SEARCH,,list_expand,synthetic
Compare this scholarship with Maintenance Allowance to SC Students studying in Sainik Schools.,en,COMPARISON,,,synthetic
Can I apply if I already receive another scholarship?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
How do I apply for this scholarship?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
Can I renew this scholarship next year?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
When is the last date to apply?,en,SCHEME_FIELD_QUERY,deadline,,synthetic
What is Dr Punjabrao Deshmukh Vastigruh Nirvah Bhatta Yojna?,en,SCHEME_INFO,,,synthetic
Tell me about Dr Punjabrao Deshmukh Vastigruh Nirvah Bhatta Yojna.,en,SCHEME_INFO,,,synthetic
Explain the DTE hostel maintenance allowance scheme.,en,SCHEME_INFO,,,synthetic
Give details about the Dr Punjabrao Deshmukh hostel allowance scheme.,en,SCHEME_INFO,,,synthetic
What is the purpose of this scheme?,en,SCHEME_INFO,,,synthetic
Who launched Dr Punjabrao Deshmukh Vastigruh Nirvah Bhatta Yojna?,en,DEPARTMENT_QUERY,dept,,synthetic
Which department offers this scheme?,en,DEPARTMENT_QUERY,dept,,synthetic
Is this scheme provided by Directorate of Technical Education?,en,DEPARTMENT_QUERY,dept,,synthetic
Which department is responsible for this hostel allowance?,en,DEPARTMENT_QUERY,dept,,synthetic
Who administers this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Who can apply for Dr Punjabrao Deshmukh Vastigruh Nirvah Bhatta Yojna?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Who is eligible for this scheme?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can EBC students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can SEBC students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can General category students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can diploma students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can engineering students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can postgraduate students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can first-year students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students admitted through CAP apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Are management quota students eligible?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students from private universities apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can distance education students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is Maharashtra domicile compulsory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is Aadhaar mandatory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is attendance mandatory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can students receiving another hostel scholarship apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students staying in government hostels apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can children of registered labourers apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is there any restriction on number of children in a family?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What is the annual income limit?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Is ₹8 lakh the maximum income limit?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Can students with income below ₹1 lakh apply?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Is family income considered?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
How much maintenance allowance is provided?,en,BENEFIT_QUERY,benefit,,synthetic
What benefits are offered under this scheme?,en,BENEFIT_QUERY,benefit,,synthetic
How much hostel allowance will I receive?,en,BENEFIT_QUERY,benefit,,synthetic
Does the scheme include meal allowance?,en,BENEFIT_QUERY,benefit,,synthetic
Does it include residence allowance?,en,BENEFIT_QUERY,benefit,,synthetic
Does it include subsistence allowance?,en,BENEFIT_QUERY,benefit,,synthetic
What is the allowance for students in Mumbai?,en,BENEFIT_QUERY,benefit,,synthetic
What is the allowance for students in Pune?,en,BENEFIT_QUERY,benefit,,synthetic
What is the allowance for Taluka students?,en,BENEFIT_QUERY,benefit,,synthetic
What benefit is given to students from district headquarters?,en,BENEFIT_QUERY,benefit,,synthetic
Will I get ₹60,000 under this scheme?,en,BENEFIT_QUERY,benefit,,synthetic
Will I receive the benefit in installments?,en,BENEFIT_QUERY,benefit,,synthetic
How is the maintenance allowance paid?,en,BENEFIT_QUERY,benefit,,synthetic
How do I apply for this scheme?,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
Explain the application process.,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
How can I submit an application?,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
Can I renew this scholarship next year?,en,FOLLOW_UP,,,synthetic
What are the renewal conditions?,en,FOLLOW_UP,,,synthetic
Can previous beneficiaries renew the scheme?,en,FOLLOW_UP,,,synthetic
What documents are required?,en,DOCUMENT_QUERY,documents,,synthetic
Which certificates should I upload?,en,DOCUMENT_QUERY,documents,,synthetic
Is an income certificate required?,en,DOCUMENT_QUERY,documents,,synthetic
Is Aadhaar required while applying?,en,DOCUMENT_QUERY,documents,,synthetic
Show all DTE scholarship schemes.,en,FILTER_SEARCH,,list_expand,synthetic
List all hostel maintenance allowance schemes.,en,FILTER_SEARCH,,list_expand,synthetic
Show all EBC scholarship schemes.,en,FILTER_SEARCH,,list_expand,synthetic
List all SEBC scholarship schemes.,en,FILTER_SEARCH,,list_expand,synthetic
Show all post-matric hostel allowance schemes.,en,FILTER_SEARCH,,list_expand,synthetic
Show all technical education scholarship schemes.,en,FILTER_SEARCH,,list_expand,synthetic
List hostel allowance schemes for engineering students.,en,FILTER_SEARCH,,list_expand,synthetic
Show all scholarships with hostel maintenance allowance.,en,FILTER_SEARCH,,list_expand,synthetic
What is Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC)?,en,SCHEME_INFO,,,synthetic
Tell me about the Rajarshi Chhatrapati Shahu Maharaj EBC Scholarship.,en,SCHEME_INFO,,,synthetic
Explain the DTE EBC tuition fee scholarship.,en,SCHEME_INFO,,,synthetic
Give complete details of the Rajarshi Chhatrapati Shahu Maharaj scholarship.,en,SCHEME_INFO,,,synthetic
What is this EBC scholarship scheme?,en,SCHEME_INFO,,,synthetic
Which department provides the Rajarshi Chhatrapati Shahu Maharaj Scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Who administers this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Is this scholarship offered by the Directorate of Technical Education?,en,DEPARTMENT_QUERY,dept,,synthetic
Which government department runs this scheme?,en,DEPARTMENT_QUERY,dept,,synthetic
Who is the implementing authority for this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Who can apply for the Rajarshi Chhatrapati Shahu Maharaj Scholarship?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Who is eligible for this scholarship?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can EBC students apply for this scholarship?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can EWS students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can General category students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can SEBC students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can diploma students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can engineering students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can postgraduate students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can first-year students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students admitted through CAP apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Are management quota students eligible?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students from private universities apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students pursuing distance education apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can part-time students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is Maharashtra domicile compulsory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is Aadhaar mandatory for this scholarship?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is 50% attendance compulsory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Do I need to appear for every semester exam?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is there any restriction on the number of children eligible in a family?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can I receive another scholarship along with this one?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
What is the maximum annual family income allowed?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Is ₹8 lakh the income limit?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Can students with family income below ₹8 lakh apply?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Does the scholarship consider parents' combined income?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
How much tuition fee reimbursement is provided?,en,BENEFIT_QUERY,benefit,,synthetic
What benefits are available under this scholarship?,en,BENEFIT_QUERY,benefit,,synthetic
Will female students get 100% tuition fee reimbursement?,en,BENEFIT_QUERY,benefit,,synthetic
Will female students receive full exam fee reimbursement?,en,BENEFIT_QUERY,benefit,,synthetic
How much tuition fee is reimbursed for male students?,en,BENEFIT_QUERY,benefit,,synthetic
How much exam fee is reimbursed for male students?,en,BENEFIT_QUERY,benefit,,synthetic
Does this scholarship cover the full tuition fee?,en,BENEFIT_QUERY,benefit,,synthetic
Does this scholarship reimburse examination fees?,en,BENEFIT_QUERY,benefit,,synthetic
Will the scholarship amount be paid in installments?,en,BENEFIT_QUERY,benefit,,synthetic
How is the scholarship amount disbursed?,en,BENEFIT_QUERY,benefit,,synthetic
How do I apply for this scholarship?,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
Explain the application process for this scholarship.,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
How can I submit my application online?,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
Can I renew this scholarship next year?,en,FOLLOW_UP,,,synthetic
What are the renewal conditions?,en,FOLLOW_UP,,,synthetic
Can previous beneficiaries renew this scholarship?,en,FOLLOW_UP,,,synthetic
What documents are required for this scholarship?,en,DOCUMENT_QUERY,documents,,synthetic
Which certificates should I upload while applying?,en,DOCUMENT_QUERY,documents,,synthetic
Is an income certificate required?,en,DOCUMENT_QUERY,documents,,synthetic
Is Aadhaar required while applying?,en,DOCUMENT_QUERY,documents,,synthetic
Show all DTE scholarship schemes.,en,FILTER_SEARCH,,list_expand,synthetic
List all EBC scholarship schemes.,en,FILTER_SEARCH,,list_expand,synthetic
Show all scholarships for General category students.,en,FILTER_SEARCH,,list_expand,synthetic
List all scholarships for SEBC students.,en,FILTER_SEARCH,,list_expand,synthetic
Show all fee reimbursement schemes.,en,FILTER_SEARCH,,list_expand,synthetic
